CUSTOMER_ID,PRIMARY_PLATFORM,REGION,INDUSTRY,AI_ADOPTION_PCT,RAG_ADOPTION_PCT,AGENTIC_AI_ADOPTION_PCT,ANNUAL_PLATFORM_SPEND_USD,ADOPTION_STAGE
CUST-0001,Snowflake,APAC,BFSI,72,42,22,3385857,Evaluation
CUST-0002,Microsoft,Europe,BFSI,75,47,23,3477159,Evaluation
CUST-0003,Microsoft,North America,Manufacturing,70,48,17,1488054,Scaling
CUST-0004,Microsoft,North America,Healthcare,64,43,16,1770994,Production
CUST-0005,Databricks,Middle East & Africa,BFSI,83,63,38,2329401,Pilot
CUST-0006,Snowflake,Europe,BFSI,75,61,39,5168076,Production
CUST-0007,AWS,APAC,Healthcare,70,54,28,4180399,Production
CUST-0008,Snowflake,Europe,Retail,79,47,18,5939759,Pilot
CUST-0009,Snowflake,Europe,BFSI,79,54,14,5500532,Scaling
CUST-0010,Microsoft,Middle East & Africa,Healthcare,53,45,22,1071511,Pilot
CUST-0011,Microsoft,Middle East & Africa,Manufacturing,78,48,31,3179776,Production
CUST-0012,Databricks,Europe,BFSI,69,53,30,2677419,Production
CUST-0013,AWS,APAC,Healthcare,85,47,25,4169834,Scaling
CUST-0014,Databricks,North America,Manufacturing,72,46,14,268660,Scaling
CUST-0015,Google Cloud,North America,Retail,69,53,26,1128825,Pilot
CUST-0016,Snowflake,APAC,BFSI,65,46,13,2337139,Scaling
CUST-0017,Microsoft,North America,Retail,79,45,24,4653547,Pilot
CUST-0018,Snowflake,APAC,Retail,77,56,27,5795086,Pilot
CUST-0019,Databricks,APAC,Healthcare,64,37,12,2193991,Pilot
CUST-0020,Snowflake,North America,BFSI,76,60,16,637551,Production
CUST-0021,Databricks,Europe,BFSI,73,53,28,5323702,Evaluation
CUST-0022,Microsoft,Middle East & Africa,Healthcare,81,49,14,2728544,Evaluation
CUST-0023,AWS,North America,BFSI,80,66,19,1351642,Evaluation
CUST-0024,Microsoft,APAC,Retail,75,53,31,683463,Production
CUST-0025,Microsoft,North America,BFSI,87,52,23,1479046,Evaluation
CUST-0026,Google Cloud,Middle East & Africa,Retail,55,30,12,5577478,Evaluation
CUST-0027,AWS,Europe,Healthcare,68,38,20,600506,Scaling
CUST-0028,Microsoft,Europe,Healthcare,76,43,19,5145219,Production
CUST-0029,Snowflake,Middle East & Africa,Retail,87,55,26,3811443,Evaluation
CUST-0030,Snowflake,APAC,Manufacturing,86,53,28,1622444,Evaluation
CUST-0031,Microsoft,Middle East & Africa,Manufacturing,63,36,15,5991113,Production
CUST-0032,Microsoft,APAC,Retail,85,50,19,645550,Pilot
CUST-0033,AWS,Middle East & Africa,Retail,73,55,35,4010363,Production
CUST-0034,Snowflake,North America,Manufacturing,58,50,15,913714,Production
CUST-0035,Databricks,APAC,Retail,74,49,25,5154248,Evaluation
CUST-0036,Microsoft,North America,BFSI,76,58,33,503498,Scaling
CUST-0037,Databricks,Europe,Manufacturing,75,52,13,682652,Pilot
CUST-0038,Snowflake,Europe,Manufacturing,59,41,10,2346746,Production
CUST-0039,Google Cloud,Europe,Retail,59,44,26,5849562,Pilot
CUST-0040,Google Cloud,Europe,Retail,55,49,28,5318143,Production
