order_item_id,order_id,product_id,quantity,sales,discount,profit
1,CA-2019-103800,OFF-PA-10000174,2,16.448,0.2,5.5512
2,CA-2019-112326,OFF-LA-10003223,3,11.784,0.2,4.2717
3,CA-2019-112326,OFF-ST-10002743,3,272.736,0.2,-64.7748
4,CA-2019-112326,OFF-BI-10004094,2,3.54,0.8,-5.487
5,CA-2019-141817,OFF-AR-10003478,3,19.536,0.2,4.884
6,CA-2019-167199,OFF-AR-10001662,2,5.48,0.0,1.4796
7,CA-2019-167199,FUR-CH-10004063,9,2573.82,0.0,746.4078
8,CA-2019-167199,OFF-BI-10004632,2,609.98,0.0,274.491
9,CA-2019-106054,OFF-AR-10002399,3,12.78,0.0,5.2398
10,CA-2019-167199,TEC-PH-10004977,2,391.98,0.0,113.6742
11,CA-2019-167199,TEC-PH-10004539,4,755.96,0.0,204.1092
12,CA-2019-167199,OFF-FA-10001883,4,31.12,0.0,0.3112
13,CA-2019-167199,OFF-PA-10000955,1,6.54,0.0,3.0084
14,CA-2019-130813,OFF-PA-10002005,3,19.44,0.0,9.3312
15,CA-2019-105417,FUR-FU-10004864,3,76.728,0.6,-53.7096
16,CA-2019-105417,OFF-BI-10003708,7,10.43,0.8,-18.2525
17,CA-2019-135405,OFF-AR-10004078,2,9.344,0.2,1.168
18,CA-2019-135405,TEC-AC-10001266,3,31.2,0.2,9.75
19,CA-2019-149020,FUR-FU-10000965,1,51.94,0.0,21.2954
20,CA-2019-149020,OFF-LA-10004272,1,2.89,0.0,1.3583
21,CA-2019-130092,FUR-FU-10000010,2,9.94,0.0,3.0814
22,CA-2019-162775,OFF-ST-10000025,6,572.58,0.0,34.3548
23,CA-2019-162775,OFF-BI-10004187,3,5.64,0.0,2.7072
24,CA-2019-157147,OFF-AR-10003514,5,19.9,0.0,6.567
25,CA-2019-118192,OFF-BI-10003476,2,3.438,0.7,-2.5212
26,CA-2019-157147,OFF-ST-10000078,5,1325.85,0.0,238.653
27,CA-2019-118192,OFF-PA-10002947,7,37.408,0.2,13.0928
28,CA-2019-162775,OFF-EN-10001990,2,11.36,0.0,5.3392
29,CA-2019-109232,FUR-CH-10000422,6,545.94,0.0,87.3504
30,CA-2019-157147,FUR-BO-10003034,3,333.999,0.15,3.9294
31,CA-2019-162775,OFF-EN-10001532,3,50.94,0.0,25.47
32,CA-2019-162775,TEC-AC-10003174,6,646.74,0.0,258.696
33,CA-2019-149524,FUR-BO-10003433,4,61.96,0.5,-53.2856
34,CA-2019-103366,TEC-AC-10003628,5,149.95,0.0,65.978
35,CA-2019-115791,OFF-LA-10001074,3,30.072,0.2,10.1493
36,CA-2019-115791,FUR-FU-10001095,6,127.104,0.2,28.5984
37,CA-2019-115791,TEC-PH-10004614,3,124.2,0.4,-31.05
38,CA-2019-115791,OFF-BI-10001575,2,18.588,0.7,-13.6312
39,CA-2019-123477,OFF-AP-10000692,4,64.864,0.2,6.4864
40,CA-2019-146591,OFF-BI-10003676,10,32.34,0.7,-23.716
41,CA-2019-146591,OFF-PA-10000659,4,56.064,0.2,19.6224
42,CA-2019-146591,OFF-EN-10002504,5,108.72,0.2,36.693
43,CA-2019-146591,FUR-BO-10001972,5,181.47,0.7,-320.597
44,CA-2019-167927,FUR-FU-10002268,3,14.73,0.0,4.8609
45,CA-2019-167927,OFF-BI-10004364,5,29.7,0.0,13.365
46,CA-2019-148614,OFF-PA-10002893,2,19.36,0.0,9.2928
47,US-2019-147774,OFF-BI-10003091,1,67.194,0.7,-51.5154
48,CA-2019-167927,OFF-AR-10004456,3,43.92,0.0,12.7368
49,US-2019-147627,FUR-FU-10003194,4,38.6,0.0,11.58
50,US-2019-147627,OFF-AR-10003811,3,6.63,0.0,1.7901
51,CA-2019-167927,OFF-ST-10003123,2,66.58,0.0,15.9792
52,US-2019-147627,FUR-CH-10002331,3,1067.94,0.0,224.2674
53,CA-2019-167927,OFF-BI-10000605,5,19.05,0.0,8.9535
54,CA-2019-167927,FUR-FU-10002918,3,272.94,0.0,30.0234
55,CA-2019-167927,OFF-ST-10000760,1,13.98,0.0,4.0542
56,US-2019-147627,OFF-EN-10001539,3,23.34,0.0,10.9698
57,US-2019-147627,OFF-AR-10002375,7,22.96,0.0,6.6584
58,CA-2019-148614,FUR-FU-10003194,2,19.3,0.0,5.79
59,CA-2019-167927,OFF-AP-10002311,4,247.716,0.1,93.5816
60,US-2019-147627,TEC-PH-10001061,7,699.93,0.0,181.9818
61,CA-2019-110422,FUR-FU-10001889,3,25.248,0.2,4.1028
62,CA-2019-146997,OFF-FA-10003467,3,5.94,0.0,0.0
63,CA-2019-102645,OFF-PA-10001804,6,40.08,0.0,19.2384
64,US-2019-155502,OFF-PA-10000380,2,16.68,0.0,8.34
65,CA-2019-167997,FUR-BO-10004409,2,141.96,0.0,39.7488
66,US-2019-155502,TEC-PH-10002103,2,187.98,0.0,52.6344
67,US-2019-155502,FUR-FU-10001847,3,12.42,0.0,4.4712
68,US-2019-155502,TEC-PH-10004833,13,155.35,0.0,0.0
69,US-2019-155502,OFF-PA-10003072,3,19.44,0.0,9.3312
70,US-2019-155502,OFF-ST-10004337,8,489.92,0.0,0.0
71,US-2019-155502,FUR-FU-10004587,3,62.82,0.0,30.7818
72,CA-2019-167997,OFF-BI-10001758,2,10.68,0.0,5.0196
73,US-2019-117163,OFF-ST-10003692,1,57.23,0.0,14.3075
74,US-2019-117163,OFF-AR-10003179,4,36.44,0.0,12.0252
75,US-2019-117163,FUR-TA-10003469,3,333.0,0.2,-16.65
76,CA-2019-100328,OFF-BI-10000343,1,3.928,0.2,1.3257
77,CA-2019-134103,OFF-ST-10000991,2,229.94,0.0,6.8982
78,CA-2019-134103,OFF-PA-10001204,2,10.56,0.0,4.752
79,CA-2019-115161,FUR-BO-10003966,2,290.666,0.15,3.4196
80,CA-2019-140795,TEC-AC-10001432,6,468.9,0.0,206.316
81,CA-2019-123400,OFF-BI-10000666,2,18.336,0.7,-12.224
82,CA-2019-123400,TEC-PH-10002890,5,180.96,0.2,13.572
83,CA-2019-139857,OFF-FA-10001843,5,12.35,0.0,5.8045
84,CA-2019-111059,OFF-BI-10002827,3,13.272,0.2,4.3134
85,CA-2019-111059,OFF-BI-10004593,2,83.84,0.2,27.248
86,CA-2019-107181,OFF-BI-10004230,3,82.896,0.2,29.0136
87,CA-2019-107181,OFF-PA-10000350,4,34.24,0.0,16.0928
88,CA-2019-104808,OFF-BI-10003676,2,17.248,0.2,6.0368
89,CA-2019-131905,TEC-PH-10001615,5,144.95,0.0,42.0355
90,CA-2019-131905,TEC-PH-10003645,1,161.61,0.0,42.0186
91,CA-2019-131905,OFF-LA-10002787,4,15.0,0.0,7.2
92,CA-2019-108182,OFF-BI-10001196,2,8.952,0.8,-14.7708
93,CA-2019-107755,TEC-AC-10000710,7,115.36,0.0,49.6048
94,US-2019-169390,OFF-ST-10001558,4,64.96,0.0,9.744
95,CA-2019-125759,FUR-FU-10002111,2,14.56,0.0,5.5328
96,CA-2019-168368,OFF-ST-10002583,2,64.96,0.0,2.5984
97,CA-2019-168368,FUR-CH-10001146,1,60.89,0.0,15.2225
98,CA-2019-168368,OFF-LA-10004853,3,14.94,0.0,6.8724
99,CA-2019-168368,OFF-BI-10004728,2,9.64,0.0,4.4344
100,CA-2019-168368,FUR-FU-10002298,3,332.94,0.0,53.2704
101,CA-2019-127614,OFF-BI-10003291,2,17.46,0.0,8.2062
102,CA-2019-168368,OFF-BI-10004654,3,51.9,0.0,24.393
103,CA-2019-127614,FUR-TA-10003715,6,1256.22,0.0,75.3732
104,CA-2019-127614,TEC-AC-10001432,3,234.45,0.0,103.158
105,US-2019-110674,FUR-CH-10000225,2,129.568,0.2,-24.294
106,CA-2019-121762,OFF-SU-10000157,2,238.62,0.0,4.7724
107,CA-2019-121762,OFF-AP-10001293,2,81.96,0.0,22.9488
108,CA-2019-121762,TEC-AC-10000736,3,239.97,0.0,86.3892
109,CA-2019-107706,OFF-PA-10000466,3,16.176,0.2,6.066
110,CA-2019-165568,OFF-BI-10001031,5,21.36,0.2,7.209
111,CA-2019-122567,OFF-BI-10002012,3,1.08,0.8,-1.728
112,CA-2019-122567,OFF-AP-10001303,2,7.96,0.8,-13.93
113,CA-2019-154165,OFF-AR-10003631,14,54.208,0.2,8.8088
114,CA-2019-152905,OFF-ST-10000321,2,12.624,0.2,-2.5248
115,US-2019-165589,FUR-FU-10002396,5,25.16,0.6,-11.322
116,CA-2019-109491,TEC-AC-10001284,3,62.31,0.0,22.4316
117,CA-2019-109491,FUR-FU-10000221,4,20.32,0.0,6.9088
118,CA-2019-164903,OFF-PA-10003363,2,12.96,0.0,6.2208
119,CA-2019-165540,OFF-BI-10004094,5,8.85,0.8,-13.7175
120,CA-2019-133354,OFF-PA-10001800,3,19.44,0.0,9.3312
121,CA-2019-103744,OFF-LA-10004425,3,6.936,0.2,2.3409
122,CA-2019-103744,OFF-BI-10000320,3,4.428,0.8,-6.8634
123,US-2019-137680,OFF-PA-10000174,4,32.896,0.2,11.1024
124,US-2019-137680,OFF-PA-10000069,3,22.776,0.2,7.6869
125,CA-2019-156545,OFF-AR-10003560,4,19.456,0.2,3.4048
126,CA-2019-113880,FUR-CH-10000863,6,634.116,0.3,-172.1172
127,CA-2019-104269,FUR-CH-10004063,2,457.568,0.2,51.4764
128,CA-2019-131009,FUR-CH-10001270,6,362.25,0.3,0.0
129,CA-2019-131009,OFF-FA-10004395,5,18.84,0.2,-3.5325
130,US-2019-143707,TEC-PH-10003655,3,5.94,0.0,1.6038
131,CA-2019-168312,FUR-TA-10001866,3,376.509,0.3,-43.0296
132,CA-2019-168312,OFF-ST-10003692,3,137.352,0.2,8.5845
133,CA-2019-131009,OFF-ST-10001469,3,129.552,0.2,-22.6716
134,CA-2019-113880,OFF-PA-10003036,3,17.472,0.2,5.6784
135,CA-2019-131009,FUR-FU-10001095,6,63.552,0.6,-34.9536
136,CA-2019-107524,OFF-PA-10000587,5,36.4,0.0,17.472
137,CA-2019-107524,OFF-EN-10001990,2,11.36,0.0,5.3392
138,CA-2019-111157,TEC-AC-10004353,3,151.2,0.2,32.13
139,CA-2019-111157,OFF-PA-10000327,1,3.424,0.2,1.07
140,CA-2019-155852,OFF-AR-10003560,4,19.456,0.2,3.4048
141,US-2019-127978,FUR-BO-10001972,5,302.45,0.5,-199.617
142,CA-2019-130421,OFF-AP-10002534,3,176.772,0.8,-459.6072
143,CA-2019-105648,FUR-TA-10002958,3,626.352,0.2,-23.4882
144,CA-2019-127964,TEC-PH-10004700,1,9.99,0.0,4.5954
145,CA-2019-127964,OFF-BI-10004593,3,125.76,0.2,40.872
146,US-2019-127978,OFF-LA-10000305,3,15.12,0.2,4.914
147,US-2019-127978,OFF-ST-10002486,8,44.672,0.2,-10.0512
148,CA-2019-127964,OFF-BI-10003429,5,25.32,0.2,9.1785
149,CA-2019-117016,OFF-AR-10001374,3,15.552,0.2,2.3328
150,CA-2019-116239,OFF-ST-10001370,5,354.9,0.0,17.745
151,CA-2019-169061,OFF-PA-10001878,2,97.82,0.0,45.9754
152,CA-2019-169061,OFF-AR-10000588,3,59.52,0.0,15.4752
153,CA-2019-169061,TEC-AC-10002001,3,479.97,0.0,177.5889
154,CA-2019-169061,OFF-SU-10000381,2,18.62,0.0,5.3998
155,CA-2019-169061,OFF-BI-10001617,6,49.632,0.2,16.7508
156,CA-2019-104563,FUR-CH-10004495,2,481.568,0.2,54.1764
157,CA-2019-104563,FUR-CH-10002780,6,436.704,0.2,21.8352
158,CA-2019-104563,OFF-ST-10000934,5,204.9,0.0,0.0
159,CA-2019-104563,OFF-AR-10000390,5,20.65,0.0,9.499
160,CA-2019-156587,FUR-CH-10004477,1,48.712,0.2,5.4801
161,US-2019-131982,OFF-BI-10004224,2,107.648,0.2,33.64
162,CA-2019-156587,OFF-AR-10001427,3,17.94,0.0,4.6644
163,CA-2019-156587,OFF-ST-10002344,3,242.94,0.0,4.8588
164,US-2019-140116,OFF-AR-10001044,4,83.168,0.2,9.3564
165,US-2019-140116,OFF-ST-10000078,3,636.408,0.2,-15.9102
166,US-2019-100279,OFF-PA-10002259,2,22.38,0.0,10.7424
167,US-2019-103338,OFF-AR-10001770,3,7.98,0.0,2.0748
168,CA-2019-114790,OFF-AP-10002578,3,146.76,0.0,38.1576
169,CA-2019-166884,FUR-FU-10003981,5,8.32,0.2,2.288
170,CA-2019-166884,OFF-FA-10001561,6,10.464,0.2,1.7004
171,CA-2019-114790,TEC-AC-10000710,2,32.96,0.0,14.1728
172,CA-2019-114790,OFF-PA-10000213,3,14.94,0.0,7.0218
173,CA-2019-158337,OFF-PA-10002137,14,108.92,0.0,49.014
174,CA-2019-114790,TEC-PH-10000984,3,587.97,0.0,164.6316
175,US-2019-125521,FUR-CH-10003379,4,1139.92,0.0,284.98
176,CA-2019-157623,OFF-PA-10001204,2,10.56,0.0,4.752
177,CA-2019-100293,OFF-PA-10000176,6,91.056,0.2,31.8696
178,CA-2019-114510,OFF-BI-10001617,4,33.088,0.2,11.1672
179,CA-2019-114510,OFF-ST-10000736,1,80.98,0.0,3.2392
180,CA-2019-114510,TEC-AC-10004877,12,82.8,0.0,6.624
181,CA-2019-114510,OFF-ST-10003221,2,21.36,0.0,5.7672
182,CA-2019-114510,OFF-BI-10003007,2,62.048,0.2,20.1656
183,CA-2019-157623,OFF-AR-10003723,1,3.38,0.0,1.2506
184,CA-2019-152618,TEC-MA-10003626,2,574.91,0.3,156.047
185,CA-2019-152618,OFF-PA-10001215,2,8.448,0.2,2.64
186,CA-2019-149958,OFF-BI-10001543,4,43.188,0.7,-31.6712
187,CA-2019-149958,OFF-ST-10001490,1,142.776,0.2,17.847
188,CA-2019-149958,FUR-FU-10001756,3,45.696,0.2,5.1408
189,CA-2019-149958,OFF-BI-10000773,3,7.218,0.7,-5.5338
190,CA-2019-149958,OFF-PA-10002120,3,131.904,0.2,47.8152
191,CA-2019-157609,TEC-PH-10002415,2,471.92,0.2,29.495
192,US-2019-164763,OFF-BI-10000605,3,11.43,0.0,5.3721
193,US-2019-164763,OFF-BI-10000309,2,30.44,0.0,14.9156
194,US-2019-164763,OFF-PA-10003349,2,12.96,0.0,6.3504
195,CA-2019-127859,OFF-PA-10003641,6,126.624,0.2,41.1528
196,US-2019-148838,FUR-TA-10004175,3,613.908,0.4,-122.7816
197,US-2019-148838,OFF-PA-10002960,7,34.86,0.0,16.3842
198,CA-2019-118339,OFF-BI-10000136,6,35.88,0.0,17.2224
199,CA-2019-118339,OFF-BI-10001758,10,53.4,0.0,25.098
200,CA-2019-118339,OFF-AR-10003829,6,19.68,0.0,5.7072
201,US-2019-148838,OFF-PA-10000919,4,155.04,0.0,75.9696
202,CA-2019-158442,OFF-AR-10003732,2,4.448,0.2,0.3336
203,US-2019-148838,FUR-TA-10001950,4,1071.576,0.4,-553.6476
204,CA-2019-158442,OFF-PA-10002365,3,15.552,0.2,5.4432
205,CA-2019-118339,OFF-PA-10000466,7,47.18,0.0,23.59
206,US-2019-148838,FUR-TA-10003473,7,1579.746,0.4,-447.5947
207,US-2019-164763,OFF-PA-10003063,4,16.0,0.0,7.68
208,US-2019-164763,OFF-AP-10003971,3,32.67,0.0,8.4942
209,CA-2019-158442,OFF-PA-10002195,1,5.184,0.2,1.8792
210,CA-2019-118339,OFF-AP-10001154,2,93.78,0.0,36.5742
211,CA-2019-145317,TEC-MA-10003626,4,821.3,0.5,-16.426
212,CA-2019-145317,FUR-FU-10001986,3,122.352,0.2,15.294
213,CA-2019-145317,TEC-MA-10002412,6,22638.48,0.5,-1811.0784
214,US-2019-131275,OFF-ST-10000078,7,1856.19,0.0,334.1142
215,CA-2019-145317,OFF-PA-10001804,4,21.376,0.2,7.4816
216,CA-2019-145317,OFF-FA-10003112,3,18.936,0.2,5.9175
217,CA-2019-145317,FUR-FU-10004270,2,30.768,0.2,8.0766
218,US-2019-131275,FUR-FU-10004597,2,111.0,0.0,14.43
219,CA-2019-145317,OFF-AR-10003183,3,8.016,0.2,1.002
220,CA-2019-111871,FUR-BO-10004218,10,1198.33,0.15,70.49
221,US-2019-131275,TEC-MA-10001148,4,1279.968,0.2,415.9896
222,CA-2019-103989,TEC-AC-10002647,2,170.24,0.2,53.2
223,CA-2019-103989,TEC-PH-10004667,3,323.976,0.2,28.3479
224,CA-2019-103989,FUR-FU-10002508,3,20.016,0.2,5.5044
225,CA-2019-103989,OFF-LA-10000443,4,11.808,0.2,3.9852
226,CA-2019-103989,OFF-ST-10000918,3,26.16,0.2,1.962
227,CA-2019-103989,OFF-BI-10001196,5,33.57,0.7,-25.737
228,CA-2019-103989,FUR-FU-10003981,3,4.992,0.2,1.3728
229,CA-2019-163223,OFF-BI-10001597,3,122.94,0.0,59.0112
230,US-2019-155544,FUR-CH-10000422,3,218.376,0.2,-10.9188
231,CA-2019-163223,OFF-PA-10000675,3,122.97,0.0,60.2553
232,CA-2019-163223,OFF-AR-10001573,4,9.32,0.0,2.7028
233,US-2019-155544,FUR-FU-10001473,3,32.952,0.2,6.5904
234,US-2019-155544,OFF-LA-10004544,5,59.2,0.2,22.2
235,CA-2019-163223,TEC-PH-10000730,7,3499.93,0.0,909.9818
236,CA-2019-140004,OFF-AR-10004027,3,6.048,0.2,1.5876
237,CA-2019-140004,OFF-AR-10004685,2,7.408,0.2,1.2038
238,US-2019-107405,OFF-ST-10002301,1,16.272,0.2,-3.8646
239,CA-2019-163223,OFF-LA-10004409,5,14.4,0.0,6.624
240,CA-2019-148040,FUR-CH-10001482,3,314.352,0.2,-35.3646
241,US-2019-158057,OFF-BI-10002735,5,51.465,0.7,-39.4565
242,CA-2019-148040,OFF-PA-10002581,3,74.352,0.2,23.235
243,US-2019-158057,OFF-BI-10004410,4,7.644,0.7,-5.8604
