order_id,order_date,ship_date,ship_mode,customer_id,region_id
CA-2019-103800,2019-01-03,2019-01-07,Standard Class,DP-13000,1
CA-2019-112326,2019-01-04,2019-01-08,Standard Class,PO-19195,1
CA-2019-141817,2019-01-05,2019-01-12,Standard Class,MB-18085,2
CA-2019-167199,2019-01-06,2019-01-10,Standard Class,ME-17320,3
CA-2019-106054,2019-01-06,2019-01-07,First Class,JO-15145,3
CA-2019-130813,2019-01-06,2019-01-08,Second Class,LS-17230,4
CA-2019-105417,2019-01-07,2019-01-12,Standard Class,VS-21820,1
CA-2019-135405,2019-01-09,2019-01-13,Standard Class,MS-17830,1
CA-2019-149020,2019-01-10,2019-01-15,Standard Class,AJ-10780,3
CA-2019-130092,2019-01-11,2019-01-14,First Class,SV-20365,2
CA-2019-162775,2019-01-13,2019-01-15,Second Class,CS-12250,3
CA-2019-157147,2019-01-13,2019-01-18,Standard Class,BD-11605,4
CA-2019-118192,2019-01-13,2019-01-18,Standard Class,MM-17920,2
CA-2019-109232,2019-01-13,2019-01-16,Second Class,ND-18370,3
CA-2019-149524,2019-01-14,2019-01-15,First Class,BS-11590,2
CA-2019-103366,2019-01-15,2019-01-17,First Class,EH-13990,3
CA-2019-115791,2019-01-16,2019-01-18,Second Class,DL-13315,2
CA-2019-123477,2019-01-18,2019-01-21,Second Class,DW-13195,4
CA-2019-146591,2019-01-19,2019-01-20,First Class,TS-21340,4
CA-2019-167927,2019-01-20,2019-01-26,Standard Class,XP-21865,1
CA-2019-148614,2019-01-20,2019-01-25,Standard Class,MV-17485,4
US-2019-147774,2019-01-20,2019-01-26,Standard Class,MM-18280,3
US-2019-147627,2019-01-20,2019-01-26,Standard Class,HL-15040,3
CA-2019-110422,2019-01-21,2019-01-23,Second Class,TB-21400,3
CA-2019-146997,2019-01-23,2019-01-27,Standard Class,SG-20605,1
CA-2019-102645,2019-01-23,2019-01-28,Standard Class,IM-15055,4
US-2019-155502,2019-01-26,2019-01-31,Standard Class,SD-20485,3
CA-2019-167997,2019-01-26,2019-01-29,First Class,CA-11965,1
US-2019-117163,2019-01-27,2019-02-02,Standard Class,EJ-13720,4
CA-2019-100328,2019-01-28,2019-02-03,Standard Class,JC-15340,2
CA-2019-134103,2019-01-30,2019-02-04,Standard Class,MV-18190,1
CA-2019-115161,2019-01-31,2019-02-02,First Class,LC-17050,4
CA-2019-140795,2019-02-01,2019-02-03,First Class,BD-11500,1
CA-2019-123400,2019-02-02,2019-02-09,Standard Class,EB-13930,3
CA-2019-139857,2019-02-02,2019-02-06,Standard Class,CD-12790,4
CA-2019-111059,2019-02-03,2019-02-06,Second Class,TB-21400,4
CA-2019-107181,2019-02-04,2019-02-08,Standard Class,DB-13270,4
CA-2019-104808,2019-02-04,2019-02-08,Second Class,MH-17440,4
CA-2019-131905,2019-02-06,2019-02-09,First Class,ND-18460,3
CA-2019-108182,2019-02-06,2019-02-10,Second Class,DL-13315,1
CA-2019-107755,2019-02-07,2019-02-12,Standard Class,CK-12760,2
US-2019-169390,2019-02-07,2019-02-10,Second Class,CS-12250,2
CA-2019-125759,2019-02-08,2019-02-09,First Class,NM-18445,4
CA-2019-168368,2019-02-11,2019-02-15,Second Class,GA-14725,1
CA-2019-127614,2019-02-11,2019-02-15,Standard Class,NF-18385,3
US-2019-110674,2019-02-12,2019-02-18,Standard Class,SC-20095,4
CA-2019-121762,2019-02-14,2019-02-18,Standard Class,ML-17395,4
CA-2019-107706,2019-02-14,2019-02-19,Second Class,ST-20530,1
CA-2019-165568,2019-02-15,2019-02-19,Standard Class,BF-11020,4
CA-2019-122567,2019-02-16,2019-02-21,Standard Class,MN-17935,1
CA-2019-154165,2019-02-17,2019-02-24,Standard Class,DL-13315,1
CA-2019-152905,2019-02-18,2019-02-24,Standard Class,AB-10015,1
US-2019-165589,2019-02-18,2019-02-18,Same Day,TB-21595,1
CA-2019-109491,2019-02-20,2019-02-26,Standard Class,LC-16930,1
CA-2019-164903,2019-02-20,2019-02-24,Standard Class,SR-20740,4
CA-2019-165540,2019-02-21,2019-02-25,Standard Class,TM-21010,1
CA-2019-133354,2019-02-22,2019-02-24,First Class,SA-20830,4
CA-2019-103744,2019-02-23,2019-02-27,Standard Class,MG-17875,1
US-2019-137680,2019-02-24,2019-03-02,Standard Class,JH-15430,4
CA-2019-156545,2019-02-27,2019-03-03,First Class,JS-16030,2
CA-2019-113880,2019-03-01,2019-03-05,Standard Class,VF-21715,1
CA-2019-104269,2019-03-01,2019-03-06,Second Class,DB-13060,4
CA-2019-131009,2019-03-01,2019-03-05,Standard Class,SC-20380,1
US-2019-143707,2019-03-01,2019-03-05,Standard Class,HR-14770,2
CA-2019-168312,2019-03-01,2019-03-07,Standard Class,GW-14605,1
CA-2019-107524,2019-03-02,2019-03-08,Standard Class,KN-16705,2
CA-2019-111157,2019-03-02,2019-03-06,Standard Class,NH-18610,2
CA-2019-155852,2019-03-03,2019-03-07,Second Class,AJ-10945,3
US-2019-127978,2019-03-03,2019-03-08,Standard Class,JS-15595,2
CA-2019-130421,2019-03-03,2019-03-07,Standard Class,SC-20020,1
CA-2019-105648,2019-03-03,2019-03-07,Standard Class,EJ-14155,4
CA-2019-127964,2019-03-03,2019-03-08,Standard Class,AP-10720,2
CA-2019-117016,2019-03-04,2019-03-09,Standard Class,SC-20095,3
CA-2019-116239,2019-03-04,2019-03-04,Same Day,CL-12565,3
CA-2019-169061,2019-03-05,2019-03-08,Second Class,AB-10150,2
CA-2019-104563,2019-03-07,2019-03-12,Standard Class,CM-12715,4
CA-2019-156587,2019-03-07,2019-03-08,First Class,AB-10015,4
US-2019-131982,2019-03-07,2019-03-11,Second Class,NP-18685,4
US-2019-140116,2019-03-10,2019-03-17,Standard Class,KT-16480,4
US-2019-100279,2019-03-10,2019-03-14,Standard Class,SW-20275,1
